word,sentiment
erupsi,neutral
cakap,neutral
muak,neutral
gerilya,neutral
atas,neutral
bea,neutral
kecill,neutral
dp,neutral
kimberley,neutral
maling,neutral
rm,neutral
aji,neutral
pecel,neutral
apple,neutral
gripen,neutral
mank,neutral
hewani,neutral
ocrrp,neutral
ribut,neutral
nurut,neutral
adany,neutral
fobia,neutral
mawas,neutral
kom,neutral
curi,neutral
anyway,neutral
presisi,neutral
merobah,neutral
deret,neutral
sindir,neutral
tembus,neutral
jakur,neutral
everything,neutral
abis,neutral
bri,neutral
mala,neutral
comfort,neutral
lontong,neutral
pisang,neutral
boing,neutral
pea,neutral
trump,neutral
hidden,neutral
arie,neutral
tps,neutral
liuk,neutral
jak,neutral
menantu,neutral
newsread,neutral
serangga,neutral
doa,neutral
retret,neutral
vulgar,neutral
iran,neutral
dela,neutral
unique,neutral
akhlak,neutral
wisdom,neutral
bhagidari,neutral
kuchi,neutral
ngapalin,neutral
ybs,neutral
mutar,neutral
landers,neutral
sabang,neutral
magerin,neutral
apresiasi,neutral
walikota,neutral
nntiny,neutral
kapital,neutral
haji,neutral
bodong,neutral
naker,neutral
nganuuuu,neutral
achievements,neutral
zaken,neutral
judul,neutral
niat,neutral
twit,neutral
myanmar,neutral
alas,neutral
royong,neutral
skip,neutral
deteksi,neutral
kalkulasi,neutral
buku,neutral
mexico,neutral
bobol,neutral
settler,neutral
pegell,neutral
gerindra,neutral
sttt,neutral
terstuktur,neutral
sancoko,neutral
tuan,neutral
baikin,neutral
iv,neutral
indiandna,neutral
logic,neutral
kristiyanto,neutral
buzer,neutral
bantu,neutral
fs,neutral
ekspor,neutral
bumbu,neutral
bpom,neutral
ngemis,neutral
always,neutral
legowo,neutral
btg,neutral
kocar,neutral
eh,neutral
rogoh,neutral
mui,neutral
ngejelekin,neutral
busuk,neutral
ministry,neutral
dianggarin,neutral
asean,neutral
gasspooll,neutral
museum,neutral
kurus,neutral
neraka,neutral
harto,neutral
are,neutral
pilar,neutral
kuno,neutral
kkn,neutral
alamin,neutral
siswa,neutral
prado,neutral
last,neutral
aksi,neutral
muas,neutral
oekerjanya,neutral
pecah,neutral
st,neutral
criminalized,neutral
abdul,neutral
sengketa,neutral
manusiawi,neutral
diversifikasi,neutral
kawasan,neutral
ulat,neutral
banya,neutral
politikus,neutral
shallallahu,neutral
umrik,neutral
channel,neutral
cunning,neutral
society,neutral
resiko,neutral
ambon,neutral
fall,neutral
madura,neutral
tweet,neutral
tanggungjawab,neutral
menkes,neutral
setan,neutral
hutanpinusmalino,neutral
cap,neutral
poo,neutral
cecer,neutral
semester,neutral
idiot,neutral
harvester,neutral
negoro,neutral
foster,neutral
lindung,neutral
ambil,neutral
lapar,neutral
muluk,neutral
provokatif,neutral
kerut,neutral
tekan,neutral
iznnya,neutral
remaja,neutral
rapihkan,neutral
kalsel,neutral
murah,neutral
half,neutral
ulang,neutral
heygoogle,neutral
dipaksain,neutral
bantai,neutral
minim,neutral
upaya,neutral
umpan,neutral
nyamarnya,neutral
seekonit,neutral
zaman,neutral
tambak,neutral
ambyar,neutral
global,neutral
tsm,neutral
lantai,neutral
isrewel,neutral
hoaks,neutral
mulut,neutral
skandal,neutral
cash,neutral
triliun,neutral
spend,neutral
kompetensi,neutral
bibuat,neutral
en,neutral
sekrtariat,neutral
diversity,neutral
halo,neutral
cerai,neutral
kopi,neutral
seri,neutral
bobi,neutral
plisssss,neutral
yaelaa,neutral
karat,neutral
sadis,neutral
tentara,neutral
bandar,neutral
omn,neutral
ace,neutral
bidik,neutral
nickel,neutral
performing,neutral
menara,neutral
komandanya,neutral
titip,neutral
cekakan,neutral
kan,neutral
sebar,neutral
cultural,neutral
bond,neutral
sbnrnya,neutral
nakal,neutral
gembira,neutral
tedy,neutral
navy,neutral
donald,neutral
capitalist,neutral
sen,neutral
bang,neutral
gws,neutral
our,neutral
aseel,neutral
oresiden,neutral
salma,neutral
metode,neutral
teladan,neutral
prof,neutral
wakanda,neutral
bap,neutral
anakgenerasiemas,neutral
bbll,neutral
lebay,neutral
concern,neutral
character,neutral
bhuahahahaaaa,neutral
beruk,neutral
kelar,neutral
pencil,neutral
langgan,neutral
protes,neutral
infaq,neutral
ishiba,neutral
gelontor,neutral
sandingin,neutral
mercy,neutral
awan,neutral
ngebully,neutral
saham,neutral
albanian,neutral
keukeh,neutral
inti,neutral
fasis,neutral
shifan,neutral
bugis,neutral
takut,neutral
mancanegara,neutral
pakan,neutral
cocok,neutral
jewellery,neutral
anjir,neutral
sayur,neutral
thd,neutral
petrochina,neutral
perkara,neutral
silah,neutral
paitnya,neutral
bknnya,neutral
two,neutral
nasgor,neutral
dkj,neutral
ngluarin,neutral
andal,neutral
karang,neutral
shm,neutral
cemen,neutral
realistis,neutral
seragam,neutral
waris,neutral
rieke,neutral
kalium,neutral
suap,neutral
jaya,neutral
bencong,neutral
fungsional,neutral
preman,neutral
collaborating,neutral
e,neutral
tentera,neutral
telenovela,neutral
ln,neutral
bawang,neutral
komitmen,neutral
sinchan,neutral
diporotin,neutral
situ,neutral
seduh,neutral
cikeas,neutral
sklipun,neutral
apec,neutral
jando,neutral
drkj,neutral
budidaya,neutral
rawat,neutral
wamenkeu,neutral
depok,neutral
olympiade,neutral
brutal,neutral
ubi,neutral
sekonyong,neutral
hmm,neutral
nilai,neutral
timing,neutral
simpan,neutral
tower,neutral
nangisin,neutral
pekerjaaan,neutral
ramal,neutral
wkwkwk,neutral
merger,neutral
house,neutral
banjir,neutral
nafsu,neutral
jaga,neutral
bbmzansi,neutral
defensif,neutral
ajar,neutral
finis,neutral
bonus,neutral
cuat,neutral
aseng,neutral
dapat,neutral
tempat,neutral
maut,neutral
praktek,neutral
reshuffle,neutral
forum,neutral
usul,neutral
kucing,neutral
tegskkan,neutral
was,neutral
postingan,neutral
pucuk,neutral
sana,neutral
rezkm,neutral
sadar,neutral
reading,neutral
mendikdasmen,neutral
yatama,neutral
santri,neutral
kerok,neutral
display,neutral
hafid,neutral
angsur,neutral
toxic,neutral
inpo,neutral
aroma,neutral
pdt,neutral
pahala,neutral
tolak,neutral
internet,neutral
ritme,neutral
tuntas,neutral
left,neutral
ginjal,neutral
on,neutral
istri,neutral
defense,neutral
dengkul,neutral
ultimate,neutral
bawaslu,neutral
puas,neutral
giat,neutral
mentang,neutral
baznas,neutral
ogah,neutral
aneh,neutral
non,neutral
bullsyit,neutral
negate,neutral
maestro,neutral
belah,neutral
mebel,neutral
pekan,neutral
pemkotambon,neutral
maskapai,neutral
graced,neutral
kontinu,neutral
gempur,neutral
bkl,neutral
pilpres,neutral
pecatin,neutral
bangga,neutral
oya,neutral
p,neutral
riyady,neutral
go,neutral
siram,neutral
shgb,neutral
bengkulu,neutral
tanggal,neutral
kepsek,neutral
duluan,neutral
krne,neutral
astacitapemerintah,neutral
been,neutral
ilegal,neutral
doom,neutral
shaped,neutral
trending,neutral
tanggung,neutral
tegang,neutral
liter,neutral
nakes,neutral
love,neutral
mensos,neutral
diissuekan,neutral
capbasah,neutral
hasut,neutral
mandek,neutral
join,neutral
imunitas,neutral
suhogeng,neutral
smmpe,neutral
tinggimoncong,neutral
lepas,neutral
youtube,neutral
letak,neutral
kss,neutral
gam,neutral
cadang,neutral
obrol,neutral
komoknya,neutral
memelas,neutral
sesat,neutral
londo,neutral
biadab,neutral
rahmat,neutral
konsolidasi,neutral
happyrepublicday,neutral
lowong,neutral
too,neutral
anyer,neutral
