"id","slang","formal"
"131","lo","kamu"
"132","loe","kamu"
"133","lom","belum"
"134","low","kalau"
"135","lp","lupa"
"136","lu","kamu"
"137","luchu","lucu"
"138","lum","belum"
"139","lun","belum"
"140","luthu","lucu"
"141","lw","kamu"
"142","maacih","terima kasih"
"143","maap","maaf"
"144","mager","malas bergerak"
"145","makaci","terima kasih"
"146","maw","mau"
"147","miapa","demi apa"
"148","miapah","demi apa"
"149","misal'a","misalnya"
"150","muup","maaf"
"151","mu'uv","maaf"
"152","mw","mau"
"153","nak","anak"
"154","naq","anak"
"155","nax","anak"
"156","nda","tidak"
"157","ndak","tidak"
"158","ndax","tidak"
"159","ngabungin","menggabungkan"
"160","ngajak","mengajak"
"161","ngerokok","merokok"
"162","ngga","tidak"
"163","nggak","tidak"
"164","nggax","tidak"
"165","nggesek","menggesek"
"166","nggosok","menggosok"
"167","ngibul","berbohong"
"168","nyokap","ibu"
"169","nykap","ibu"
"170","nykaps","ibu"
"171","nykapz","ibu"
"172","nykp","ibu"
"173","nich","ini"
"174","nntn","menonton"
"175","ntn","menonton"
"176","oc","oke"
"177","oce","oke"
"178","ohh","oh"
"179","ok","oke"
"180","okedech","oke"
"181","okedeh","oke"
"182","okeh","oke"
"183","okz","oke"
"184","org","orang"
"185","ouch","oh"
"186","ouh","oh"
"187","owh","oh"
"188","pasutri","pasangan suami istri"
"189","paz","pas"
"190","pengen","ingin"
"191","pengin","ingin"
"192","pgn","ingin"
"193","psti","pasti"
"194","pzt","pasti"
"195","q","saya"
"196","qaqa","kakak"
"197","qq","kakak"
"198","rmh","rumah"
"199","sabeb","bebas"
"200","sabi","bisa"
"201","salfok","salah fokus"
"202","saltum","salah kostum"
"203","sdh","sudah"
"204","selaw","santai"
"205","selow","santai"
"206","shap","siap"
"207","shaps","siap"
"208","syipp","sip"
"209","syp","siapa"
"210","tau","tahu"
"211","tauk","tahu"
"212","tdk","tidak"
"213","telp","telepon"
"214","tgl","tanggal"
"215","thx","terima kasih"
"216","tipi","televisi"
"217","tp","tapi"
"218","tq","terima kasih"
"219","trims","terima kasih"
"220","trimz","terima kasih"
"221","tuch","itu"
"222","tw","tahu"
"223","u","kamu"
"224","u","kamu"
"225","udah","sudah"
"226","udd","sudah"
"227","udh","sudah"
"228","uga","juga"
"229","von","telepon"
"230","w","saya"
"231","wad","buat"
"232","wat","buat"
"233","yank","sayang"
"234","yap","ya"
"235","yaw","ya"
"236","yoi","iya"
"237","yups","ya"
"238","yupz","ya"
"239","woww","wow"
"240","aminn","amin"
"241","met","selamat"
"242","netaas","menetas"
"243","keberpa","keberapa"
"244","eeeehhhh","eh"
"245","kata2nyaaa","kata-katanya"
"246","hallo","halo"
"247","kaka","kakak"
"248","ka","kak"
"249","daah","dah"
"250","aaaaahhhh","ah"
"251","yaa","ya"
"252","smga","semoga"
"253","slalu","selalu"
"254","amiin","amin"
"255","kk","kakak"
"256","trus","terus"
"257","sii","sih"
"258","nyenengin","menyenangkan"
"259","bgt","banget"
"260","gemess","gemas"
"261","akuuu","aku"
"262","jgn","jangan"
"263","udah","sudah"
"264","gitu","begitu"
"265","aja","saja"
"266","gemesiin","menggemaskan"
"267","menyenangkn","menyenangkan"
"268","rb","ribu"
"269","akau","aku"
"270","saranin","menyarankan"
"271","nemuin","menemukan"
"272","yah","ya"
"273","mnis2nya","manis-manisnya"
"274","gtu","begitu"
"275","tu","itu"
"276","idolaa","idola"
"277","bangett","banget"
"278","kaakk","kak"
"279","baaiikkk","baik"
"280","telaatt","telat"
"281","kaak","kak"
"282","yg","yang"
"283","lg","lagi"
"284","skarang","sekarang"
"285","sempet","sempat"
"286","karna","karena"
"287","ngga","tidak"
"288","mantep","mantap"
"289","loohhh","loh"
"290","yeee","ya"
"291","baguuuuus","bagus"
"292","sampe","sampai"
"293","ngikutin","mengikuti"
"294","gayany","gayanya"
"295","bnk","bang"
"296","awaas","awas"
"297","siip","sip"
"298","abizzzz","habis"
"299","kerrrrennnn","keren"
"300","sayaa","saya"
"301","pengen","ingin"
"302","kpan","kapan"
"303","sma","sama"
"304","sdkit","sedikit"
"305","bngt","banget"
"306","lgu","lagu"
"307","bener2","benar-benar"
"308","kharismanya","karismanya"
"309","aq","aku"
"310","jdi","jadi"
"311","lgi","lagi"
"312","gk","tidak"
"313","kek","seperti"
"314","lgunya","lagunya"
"315","kereeeeennnn","keren"
"316","nyamain","menyamakan"
"317","lakik","laki"
"318","siippp","sip"
"319","bkn","bukan"
"320","nyangka","menyangka"
"321","bangettt","banget"
"322","kereeen","keren"
"323","wihhhhhh","wih"
"324","tp","tapi"
"325","inget","ingat"
"326","bingitsss","banget"
"327","dmn","dimana"
"328","bird","biru"
"329","kaloo","kalo"
"330","gimna","bagaimana"
"331","tuuh","tuh"
"332","nyebur","mencebur"
"333","yng","yang"
"334","dbuat","dibuat"
"335","kn","kan"
"336","org","orang"
"337","pingin","ingin"
"338","bangcat","bangsat"
"339","yha","ya"
"340","waoohhh","wah"
"341","pngn","ingin"
"342","tmpt","tempat"
"343","dhe","deh"
"344","indahhh","indah"
"345","bgttt","banget"
"346","tuhh","tuh"
"347","berarto","berarti"
"348","ga","tidak"
"349","aamiin","amin"
"350","amiiinn","amin"
"351","dgn","dengan"
"352","aminnnn2","amin-amin"
"353","amiiiin","amin"
"354","aminnn","amin"
"355","amiend","amien"
"356","yaaa","ya"
"357","ameen","amin"
"358","aminnnn","amin"
"359","amiiinnn","amin"
"360","ngomong","mengomong"
"361","mamer","memamerkan"
"362","keles","kali"
"363","jelase","jelas"
"364","liat","lihat"
"365","uwakk","uwak"
"366","ntar","entar"
"367","bs","bisa"
"368","gini","begini"
"369","salfok","salah fokus"
"370","njir","anjir"
"371","piiink","pink"
"372","astgfrullah","astagfirullah"
"373","ko","kok"
"374","cd","celana dalam"
"375","gbs","tidak bisa"
"376","bhs","bahasa"
"377","yaaaaaa","ya"
"378","gak","tidak"
"379","bangshad","bangsat"
"380","stagahhhh","astaga"
"381","kpn","kapan"
"382","iooo","lo"
"383","dy","dia"
"384","d","di"
"385","mslh","masalah"
"386","qt","kita"
"387","plampiasannn","pelampiasan"
"388","masalahh","masalah"
"389","tohh","toh"
"390","inghinn","ingin"
"391","dhi","di"
"392","mengherthii","mengerti"
"393","yanckh","yang"
"394","chelalyyu","selalu"
"395","therchakitty","tersakiti"
"396","mauuuuu","mau"
"397","kaliii","kali"
"398","bangat","banget"
"399","bkin","bikin"
"400","dongg","dong"
"401","yokkk","yuk"
"402","yu","yuk"
"403","sweger","segar"
"404","gantengg","ganteng"
"405","bingiit","banget"
"406","kebukaaa","terbuka"
"407","tpi","tapi"
"408","keliatan","kelihatan"
"409","yakk","ya"
"410","kayakk","seperti"
"411","asliii","asli"
"412","kyk","seperti"
